Unnamed: 0,index,content,type,label,kn_id
0,14099,已知关于x的一元二次方程a * x^2=b(a≠ 0)的两个根分别是2m+4和m-1，则b/a的值为 ． 解析： 由题意可知：a * x^2=b有两个根， 由直接开方法可知：m-1与2m}+4互为相反数， ∴m-1+2m+4=0， ∴m=-1， ∴m-1=-2，2m+4=2， ∴{{x^2}=b/a=4． 故答案为：4．,普通题,一元二次方程根与系数的关系,8
1,34702,1/x_1^{2}+1/x_2^{2}． 解析： 1/x_1^{2}+1/x_2^{2}=x_1^2+x_2^2/( x_1x_{2)^2}=( x_1+x_2)^2-2x_2x_2/( x_1x_{2)^2}=6．,普通题,一元二次方程根与系数的关系,8
2,13728,求代数式2( {x^2}-5xy )-3( {x^2}-6xy )的值，其中x=-1， y=1/2． 解析： 原式=2 * x^2-10xy-3 * x^2+18xy =-{x^2}+8x y， 把x=-1， y=1/2代入得：原式=-5．,普通题,整式加减化简求值-直接代入化简求值,143
3,972,如果关于x的方程m * x^2-2( m+2 )x+m+5=0没有实数根，那么关于x的方程( m-5 ){x^2}-2( m+2 )x+m=0的实根的个数为( )． 解析： 由前一个方程{\Delta _1} < 0得m>4；当m=5时，后一个方程为一次方程；当m>4且m≠ 5时，{\Delta _2}>0．,普通题,一元二次方程根的判别式,153
4,12840,"已知{x_1},{x_2},*s ,{x_n}是实数，{a_1},{a_2},*s ,{a_n}和{b_1},{b_2},*s ,{b_n}均是正整数．令a={a_1/x_{1}+{a_2}{x_2}+*s +{a_n}{x_n}}{{a_1}+{a_2}+*s +{a_n}}， b={b_1/x_{1}+{b_2}{x_2}+*s +{b_n}{x_n}}{{b_1}+{b_2}+*s +{b_n}}， 求证：在{x_1},{x_2},*s ,{x_n}中，必存在两个数{x_i},{x_j}，使得|a-b|<= |a-{x_i}|<= |{x_i}-{x_j}|成立． 解析： 不妨假设{x_1}<= {x_2}<= *s <= {x_n}，则取{x_i}={x_n},{x_j}={x_1} 则b={b_1/x_{1}+{b_2}{x_2}+*s +{b_n}{x_n}}{{b_1}+{b_2}+*s +{b_n}}<= {b_1/x_{n}+{b_2}{x_n}+*s +{b_n}{x_1}}{{b_1}+{b_2}+*s +{b_n}}={x_n}，则|a-b|<= |a-{x_n}| 则a={a_1/x_{1}+{a_2}{x_2}+*s +{a_n}{x_n}}{{a_1}+{a_2}+*s +{a_n}}>= {a_1/x_{1}+{a_2}{x_1}+*s +{a_n}{x_1}}{{a_1}+{a_2}+*s +{a_n}}={x_1}，则|a-{x_n}|<= |{x_1}-{x_n}| 故在{x_1},{x_2},*s ,{x_n}中，必存在两个数{x_i},{x_j}，使得|a-b|<= |a-{x_i}|<= |{x_i}-{x_j}|成立．",普通题,不等式的性质,96
5,34430,解方程：(3x+4)(3x-4)=9{(x-2)^2}． 解析： \begineqnarray (3x+4)(3x-4)&=&9{(x-2)^2}\\ \large 解：9 * x^2-16&=&9({x^2}-4x+4)\\ 9 * x^2-16&=&9 * x^2-36x+36\\ 36x&=&52\\ x&=&13/9．\endeqnarray,普通题,常规一元一次方程解法,25
6,47066,求这批产品的数量． 解析： 160× 8=1280（件）． 即这批产品的数量为1280件．,普通题,有理数乘除法与实际问题,80
7,2381,解不等式组：条件表达式：2x-7<}3(x-1) \\ 4/3x+3>= 1-2/3x \\ ． 解析： 条件表达式：2x-{{k^3}(x-1) \\ 4/3x+3>= 1-2/3x \\ 解得①式x>-4，解②式得x>= -1，所以不等式解集为x>-4．,普通题,解一元一次不等式组,42
8,58616,"画出这个函数的图象． 解析： 如图： 求b，c的值． 解析： ∵抛物线经过点A(-1,0)，B(0,3)， ∴条件表达式： -1-b+c=0 \\ c=3 ． 解得条件表达式： b=2 \\ c=3 ．",复合题,二次函数一般式,23
9,25981,小李家离学校7公里，他乘坐标准型出租车从家去学校需要付 元． 解析： 小李乘标准出租车到学校需： 10+( 7-3 )× 2=10+2× 4=18（元）． 故答案为：18．,普通题,有理数乘除法与实际问题,80
